text,date,n_favs,n_rts
"un mes ahí, y el madrileño 4 veces porque la tengo mal tagueada https://t.co/sbadWl2ODo",2022-10-01 04:29:18+00:00,1,0
hay alguna forma de ver 5 asignaturas regulares en un trimestre?,2022-10-01 02:31:39+00:00,1,0
"Si quieren aprender de diplomacia y negociación no lo piensen dos veces, USBMUN es su mejor opción.",2022-09-28 05:50:20+00:00,1,0
"propongo un orden alternativo para un verano sin ti, está mal ordenado",2022-09-28 02:40:54+00:00,1,0
@aaeilrv era para oscar,2022-09-27 00:54:30+00:00,1,0
@ericitodemar ¡buenas noches a ti también!,2022-09-26 23:29:26+00:00,4,0
@EsJavier_ pc gamer oyó,2022-09-26 03:15:56+00:00,1,0
https://t.co/DCFHNfevhS,2022-09-25 20:23:53+00:00,2,0
@jesusbandezt me faltan dos calaveras todavía 😓,2022-09-25 17:13:36+00:00,1,0
ez pz 🚬 https://t.co/4JqNpzRuT8,2022-09-25 09:01:44+00:00,1,0
clare torry aparece de la nada y graba en dos tomas y media las mejores vocales jamás escuchadas por un pago de £30 https://t.co/2BeMbuxn1m,2022-09-24 02:49:05+00:00,1,0
hard images https://t.co/Xv7TjsAeEp,2022-09-23 08:51:42+00:00,2,0
tengo menos de 5 días para hacer una webapp que me saque de la pobreza,2022-09-23 00:08:55+00:00,1,0
"botón de 2x en tiktok, por favor",2022-09-22 06:13:35+00:00,1,0
el rap de maincra https://t.co/xyAtCoQAjz,2022-09-21 21:46:42+00:00,3,0
te envío poemas de mi puño y letra,2022-09-21 21:45:52+00:00,2,0
